Gene,Status,Pathways_Found
MAN2C1,Mapped,20
BIVM,Unmapped,0
HIF1AN,Mapped,20
SEC31B,Mapped,20
NDUFB8,Mapped,20
WNT8B,Mapped,20
SLCO1B1,Mapped,17
SLCO1B7,Unmapped,0
ZNF513,Unmapped,0
LYRM7,Mapped,20
CDCP1,Unmapped,0
CCR5,Mapped,20
LIMD1,Mapped,20
CD320,Mapped,10
ETFDH,Mapped,20
PPID,Mapped,20
FAM198B,Unmapped,0
CPSF4,Mapped,20
ZNF789,Unmapped,0
ANXA9,Mapped,4
CERS2,Mapped,20
ADAMTSL4,Mapped,20
SETDB1,Mapped,20
GOLPH3L,Unmapped,0
RP11-196G18.22,Unmapped,0
MLLT11,Unmapped,0
MCL1,Mapped,8
CDC42SE1,Unmapped,0
BNIPL,Unmapped,0
GABPB2,Mapped,3
HORMAD1,Unmapped,0
SURF1,Mapped,20
MKL2,Unmapped,0
NOMO1,Unmapped,0
NPIPA1,Unmapped,0
CPT2,Mapped,20
C1orf123,Unmapped,0
RP5-1024G6.8,Unmapped,0
LRP8,Mapped,20
DUS2L,Mapped,13
BCL3,Unmapped,0
Y,Mapped,20
GPC2,Mapped,20
XKR9,Unmapped,0
RP11-382J12.1,Unmapped,0
TRAM1,Mapped,20
LACTB2,Unmapped,0
OSCAR,Mapped,20
SUCLG2,Mapped,20
RNF10,Unmapped,0
CHURC1,Unmapped,0
CCDC176,Unmapped,0
C6orf201,Unmapped,0
ECI2,Mapped,20
FAM217A,Unmapped,0
ARPC1A,Mapped,20
GS1-259H13.2,Unmapped,0
POR,Mapped,4
AC005077.14,Unmapped,0
HIP1,Mapped,20
HSPB1,Mapped,20
STYXL1,Unmapped,0
DTX2,Mapped,20
MDH2,Mapped,20
CCL24,Unmapped,0
RHBDD2,Unmapped,0
DHTKD1,Mapped,20
SEC61A2,Mapped,8
NUDT5,Mapped,20
SPRYD4,Unmapped,0
RBMS2,Unmapped,0
CNPY2,Unmapped,0
CTSF,Mapped,20
ACY3,Mapped,12
CHUK,Mapped,20
CWF19L1,Mapped,20
RP11-365O16.6,Unmapped,0
CNIH4,Unmapped,0
NVL,Unmapped,0
DEGS1,Mapped,20
SPEF2,Unmapped,0
NADK2,Mapped,20
