disease_name,ratio_name,numerator_name,numerator_tissues,denominator_name,denominator_tissues
coronary artery calcification,1-oleoyl-gpi (18:1) to 1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,1-oleoyl-gpi (18:1) to 1-(1-enyl-palmitoyl)-gpc (p-16:0)*,1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues
coronary artery calcification,1-oleoyl-gpi (18:1) to 1-lignoceroyl-gpc (24:0),1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,"1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,Blood | Feces | Urine | All Tissues,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,"1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to 1-lignoceroyl-gpc (24:0),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to cholesterol,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,cholesterol,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Urine | All Tissues | Bile
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to lignoceroyl sphingomyelin (d18:1/24:0),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,lignoceroyl sphingomyelin (d18:1/24:0),Blood | Cerebrospinal Fluid (CSF) | Saliva | Urine | All Tissues
coronary artery calcification,"1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to tricosanoyl sphingomyelin (d18:1/23:0)*,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,tricosanoyl sphingomyelin (d18:1/23:0)*,Blood | Feces | Placenta
coronary artery calcification,"1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-(1-enyl-palmitoyl)-gpc (p-16:0)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)*,Placenta | All Tissues | Brain
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-arachidonoyl-gpe (20:4n6)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-lignoceroyl-gpc (24:0),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,Blood | Feces | Urine | All Tissues
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,Blood | Feces | Placenta | All Tissues | Brain
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to adrenate (22:4n6),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,adrenate (22:4n6),Blood | Feces | Neuron | Placenta | Urine
coronary artery calcification,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to docosapentaenoate n3 DPA; 22:5n3,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine
coronary artery calcification,"1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
coronary artery calcification,"1-palmitoyl-2-palmitoleoyl-gpc (16:0/16:1)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-palmitoyl-2-palmitoleoyl-gpc (16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,"1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-arachidonoyl-gpe (20:4n6)*,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues
coronary artery calcification,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-lignoceroyl-gpc (24:0),1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues
coronary artery calcification,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-stearoyl-gpe (18:0),1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-stearoyl-gpe (18:0),Feces | Placenta
coronary artery calcification,"1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
coronary artery calcification,"1-stearoyl-2-linoleoyl-gpe (18:0/18:2)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-stearoyl-2-linoleoyl-gpe (18:0/18:2)*,Feces | Placenta | All Tissues | Brain,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-stearoyl-2-linoleoyl-gpe (18:0/18:2)* to 1-lignoceroyl-gpc (24:0),1-stearoyl-2-linoleoyl-gpe (18:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,1-stearoyl-2-linoleoyl-gpe (18:0/18:2)* to 1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,1-stearoyl-2-linoleoyl-gpe (18:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,1-stearoyl-2-oleoyl-gpe (18:0/18:1) to 1-lignoceroyl-gpc (24:0),1-stearoyl-2-oleoyl-gpe (18:0/18:1),Feces | Placenta | All Tissues | Brain,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,1-stearoyl-2-oleoyl-gpe (18:0/18:1) to 1-stearoyl-gpe (18:0),1-stearoyl-2-oleoyl-gpe (18:0/18:1),Feces | Placenta | All Tissues | Brain,1-stearoyl-gpe (18:0),Feces | Placenta
coronary artery calcification,1-stearoyl-gpe (18:0) to 1-linoleoyl-gpc (18:2),1-stearoyl-gpe (18:0),Feces | Placenta,1-linoleoyl-gpc (18:2),Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,1-stearoyl-gpe (18:0) to 1-oleoyl-gpe (18:1),1-stearoyl-gpe (18:0),Feces | Placenta,1-oleoyl-gpe (18:1),Feces | Placenta | All Tissues
coronary artery calcification,3-hydroxyisobutyrate to 3-methyl-2-oxobutyrate,3-hydroxyisobutyrate,,3-methyl-2-oxobutyrate,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
coronary artery calcification,3-hydroxyisobutyrate to 3-methyl-2-oxovalerate,3-hydroxyisobutyrate,,3-methyl-2-oxovalerate,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Urine
coronary artery calcification,3-hydroxyisobutyrate to 4-methyl-2-oxopentanoate,3-hydroxyisobutyrate,,4-methyl-2-oxopentanoate,Blood | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine
coronary artery calcification,cholesterol to 1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,cholesterol,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Urine | All Tissues | Bile,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,gamma-glutamylleucine to gamma-glutamyltyrosine,gamma-glutamylleucine,Blood | Feces | Placenta,gamma-glutamyltyrosine,Blood | Feces
coronary artery calcification,glycerol to adrenate (22:4n6),glycerol,Adipose Tissue | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Kidney | Liver | Neuron | Pancreas | Placenta | Prostate | Saliva | Skeletal Muscle | Spleen | Sweat | Testis | Thyroid Gland | Urine | Epidermis | Brain,adrenate (22:4n6),Blood | Feces | Neuron | Placenta | Urine
coronary artery calcification,isobutyrylglycine to tiglylcarnitine (c5:1-dc),isobutyrylglycine,Blood | Feces | Urine,tiglylcarnitine (c5:1-dc),Blood | Feces | Placenta | Urine
coronary artery calcification,linoleoylcholine* to glycerophosphorylcholine (gpc),linoleoylcholine*,,glycerophosphorylcholine (gpc),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Kidney | Placenta | Prostate | Saliva | Spleen | Urine | Brain | Semen
coronary artery calcification,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)* to 1,2-dilinoleoyl-gpe (18:2/18:2)*","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta,"1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain
coronary artery calcification,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)* to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain
coronary artery calcification,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)* to 1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain
coronary artery calcification,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)* to 1-linoleoyl-gpc (18:2)","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta,1-linoleoyl-gpc (18:2),Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)* to 1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta,1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,Blood | Feces | Urine | All Tissues
coronary artery calcification,tiglylcarnitine (c5:1-dc) to 3-methyl-2-oxovalerate,tiglylcarnitine (c5:1-dc),Blood | Feces | Placenta | Urine,3-methyl-2-oxovalerate,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Urine
coronary artery calcification,tiglylcarnitine (c5:1-dc) to 4-methyl-2-oxopentanoate,tiglylcarnitine (c5:1-dc),Blood | Feces | Placenta | Urine,4-methyl-2-oxopentanoate,Blood | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine
coronary artery calcification,tiglylcarnitine (c5:1-dc) to alpha-hydroxyisovalerate,tiglylcarnitine (c5:1-dc),Blood | Feces | Placenta | Urine,alpha-hydroxyisovalerate,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
coronary artery disease,(16 or 17)-methylstearate (a19:0 or i19:0) to hexadecanedioate (c16-dc),(16 or 17)-methylstearate (a19:0 or i19:0),Feces,hexadecanedioate (c16-dc),Feces
coronary artery disease,3-hydroxybutyrate to octadecanedioate (c18-dc),3-hydroxybutyrate (bhba),Blood | Cerebrospinal Fluid (CSF) | Feces | Saliva | Urine | Cellular Cytoplasm,octadecanedioate (c18-dc),Feces
coronary artery disease,erucate (22:1n9) to hexadecanedioate (c16-dc),erucate (22:1n9),Blood | Feces | Placenta | Adrenal Gland,hexadecanedioate (c16-dc),Feces
coronary artery disease,erucate (22:1n9) to octadecanedioate (c18-dc),erucate (22:1n9),Blood | Feces | Placenta | Adrenal Gland,octadecanedioate (c18-dc),Feces
coronary artery disease,hexadecanedioate (c16-dc) to 10-heptadecenoate (17:1n7),hexadecanedioate (c16-dc),Feces,10-heptadecenoate (17:1n7),Blood | Feces | Placenta
coronary artery disease,hexadecanedioate (c16-dc) to 10-nonadecenoate (19:1n9),hexadecanedioate (c16-dc),Feces,10-nonadecenoate (19:1n9),Blood | Feces | Placenta
coronary artery disease,hexadecanedioate (c16-dc) to 5-dodecenoate (12:1n7),hexadecanedioate (c16-dc),Feces,5-dodecenoate (12:1n7),Feces
coronary artery disease,hexadecanedioate (c16-dc) to eicosenoate (20:1),hexadecanedioate (c16-dc),Feces,eicosenoate (20:1),
coronary artery disease,hexadecanedioate (c16-dc) to margarate (17:0),hexadecanedioate (c16-dc),Feces,margarate (17:0),Adipose Tissue | Blood | Feces | Placenta | Prostate | Saliva | Skeletal Muscle | Urine
coronary artery disease,hexadecanedioate (c16-dc) to myristate (14:0),hexadecanedioate (c16-dc),Feces,myristate (14:0),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Spleen | Urine | Epidermis
coronary artery disease,hexadecanedioate (c16-dc) to nonadecanoate (19:0),hexadecanedioate (c16-dc),Feces,nonadecanoate (19:0),Feces | Placenta
coronary artery disease,hexadecanedioate (c16-dc) to palmitate (16:0),hexadecanedioate (c16-dc),Feces,palmitate (16:0),Adipose Tissue | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Sweat | Urine | Epidermis
coronary artery disease,hexadecanedioate (c16-dc) to palmitoleate (16:1n7),hexadecanedioate (c16-dc),Feces,palmitoleate (16:1n7),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Skeletal Muscle | Urine
coronary artery disease,hexadecanedioate (c16-dc) to pentadecanoate (15:0),hexadecanedioate (c16-dc),Feces,pentadecanoate (15:0),Adipose Tissue | Blood | Feces | Saliva | Sweat | Urine
coronary artery disease,hexadecanedioate (c16-dc) to stearate (18:0),hexadecanedioate (c16-dc),Feces,stearate (18:0),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Neuron | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Sweat | Urine | Epidermis | Intestine | Brain | Erythrocyte
coronary artery disease,linoleate (18:2n6) to hexadecanedioate (c16-dc),linoleate (18:2n6),,hexadecanedioate (c16-dc),Feces
coronary artery disease,n-oleoyltaurine to hexadecanedioate (c16-dc),n-oleoyltaurine,,hexadecanedioate (c16-dc),Feces
coronary artery disease,n-oleoyltaurine to hexadecenedioate (c16:1-dc)*,n-oleoyltaurine,,hexadecenedioate (c16:1-dc)*,
coronary artery disease,n-oleoyltaurine to octadecanedioate (c18-dc),n-oleoyltaurine,,octadecanedioate (c18-dc),Feces
coronary artery disease,octadecanedioate (c18-dc) to 10-nonadecenoate (19:1n9),octadecanedioate (c18-dc),Feces,10-nonadecenoate (19:1n9),Blood | Feces | Placenta
coronary artery disease,octadecanedioate (c18-dc) to eicosenoate (20:1),octadecanedioate (c18-dc),Feces,eicosenoate (20:1),
coronary artery disease,octadecanedioate (c18-dc) to nonadecanoate (19:0),octadecanedioate (c18-dc),Feces,nonadecanoate (19:0),Feces | Placenta
coronary artery disease,oleate/vaccenate (18:1) to hexadecanedioate (c16-dc),oleate/vaccenate (18:1),,hexadecanedioate (c16-dc),Feces
crohn's disease,ergothioneine to isovalerylcarnitine (c5),ergothioneine,Blood | Placenta | Urine,isovalerylcarnitine (c5),Blood | Placenta | Saliva | Urine
crohn's disease,lignoceroylcarnitine (c24)* to tryptophan betaine,lignoceroylcarnitine (c24)*,Blood,tryptophan betaine,Blood | Feces | Placenta | Urine
diastolic blood pressure,ergothioneine to lignoceroylcarnitine (c24)*,ergothioneine,Blood | Placenta | Urine,lignoceroylcarnitine (c24)*,Blood
diastolic blood pressure,methionine sulfone to n-acetyltyrosine,methionine sulfone,Feces | Urine,n-acetyltyrosine,Blood | Feces | Urine
diastolic blood pressure,vanillylmandelate (vma) to homovanillate (hva),vanillylmandelate (vma),Blood | Feces | Saliva | Thyroid Gland | Urine | Epidermis | Adrenal Gland,homovanillate (hva),Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Saliva | Urine | Brain
entorhinal cortical volume,5-methylthioadenosine (mta) to formiminoglutamate,5-methylthioadenosine (mta),Blood | Feces | Fibroblasts | Placenta | Platelet | Prostate | Urine,formiminoglutamate,Feces | Urine
eosinophil count,ergothioneine to arachidoylcarnitine (c20)*,ergothioneine,Blood | Placenta | Urine,arachidoylcarnitine (c20)*,Blood | Urine
eosinophil count,ergothioneine to lignoceroylcarnitine (c24)*,ergothioneine,Blood | Placenta | Urine,lignoceroylcarnitine (c24)*,Blood
erythrocyte count,1-linoleoyl-gpi (18:2)* to 1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,1-linoleoyl-gpi (18:2)* to 1-stearoyl-gpc (18:0),1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-stearoyl-gpc (18:0),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,1-linoleoyl-gpi (18:2)* to 1-stearoyl-gpe (18:0),1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-stearoyl-gpe (18:0),Feces | Placenta
erythrocyte count,1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)* to 1-palmitoyl-2-docosahexaenoyl-gpe (16:0/22:6)*,1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)*,All Tissues | Brain,1-palmitoyl-2-docosahexaenoyl-gpe (16:0/22:6)*,All Tissues | Brain
erythrocyte count,1-oleoyl-gpi (18:1) to 1-stearoyl-gpc (18:0),1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-stearoyl-gpc (18:0),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,1-oleoyl-gpi (18:1) to 1-stearoyl-gpe (18:0),1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-stearoyl-gpe (18:0),Feces | Placenta
erythrocyte count,1-oleoyl-gpi (18:1) to glycerophosphorylcholine (gpc),1-oleoyl-gpi (18:1),Blood | Placenta | Urine,glycerophosphorylcholine (gpc),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Kidney | Placenta | Prostate | Saliva | Spleen | Urine | Brain | Semen
erythrocyte count,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues
erythrocyte count,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-stearoyl-gpc (18:0),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-stearoyl-gpc (18:0),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,1-palmitoyl-2-linoleoyl-gpi (16:0/18:2) to 1-stearoyl-gpe (18:0),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),Blood | Feces | Placenta | All Tissues | Brain,1-stearoyl-gpe (18:0),Feces | Placenta
erythrocyte count,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain
erythrocyte count,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) to 1-linoleoyl-gpi (18:2)*,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine
erythrocyte count,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) to 1-oleoyl-gpi (18:1),1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues,1-oleoyl-gpi (18:1),Blood | Placenta | Urine
erythrocyte count,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) to docosatrienoate (22:3n3),1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues,docosatrienoate (22:3n6)*,Blood | Feces | Placenta
erythrocyte count,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) to docosatrienoate (22:3n3),1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues,docosatrienoate (22:3n3),Blood | Feces | Placenta
