disease_name,ratio_name,numerator_name,numerator_tissues,denominator_name,denominator_tissues
body height,1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)* to 1-linoleoyl-gpc (18:2),1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)*,All Tissues | Brain,1-linoleoyl-gpc (18:2),Blood | Feces | Placenta | Urine | All Tissues
body height,1-oleoyl-gpi (18:1) to 1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,Blood | Feces | Placenta | All Tissues | Brain
body height,1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6) to dihomo-linolenate (20:3n3 or n6),1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6),Blood | Feces | Saliva | Urine | All Tissues,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis
body height,10-nonadecenoate (19:1n9) to Hexanoylcarnitine,10-nonadecenoate (19:1n9),Blood | Feces | Placenta,hexanoylcarnitine (c6),Blood | Feces | Placenta | Urine
body height,10-nonadecenoate (19:1n9) to acetylcarnitine (c2),10-nonadecenoate (19:1n9),Blood | Feces | Placenta,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
body height,3-hydroxybutyrate to acetylcarnitine (c2),3-hydroxybutyrate (bhba),Blood | Cerebrospinal Fluid (CSF) | Feces | Saliva | Urine | Cellular Cytoplasm,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
body height,3-hydroxyoctanoylcarnitine (1) to decanoylcarnitine (c10),3-hydroxyoctanoylcarnitine (1),Blood | Urine,decanoylcarnitine (c10),Blood | Feces | Placenta | Urine
body height,3-hydroxyoctanoylcarnitine (1) to decanoylcarnitine (c10),3-hydroxyoctanoylcarnitine (2),Blood | Urine,decanoylcarnitine (c10),Blood | Feces | Placenta | Urine
body height,3-hydroxyoctanoylcarnitine (1) to nonanoylcarnitine (c9),3-hydroxyoctanoylcarnitine (1),Blood | Urine,nonanoylcarnitine (c9),Blood | Feces | Urine
body height,3-hydroxyoctanoylcarnitine (1) to nonanoylcarnitine (c9),3-hydroxyoctanoylcarnitine (2),Blood | Urine,nonanoylcarnitine (c9),Blood | Feces | Urine
body height,3-hydroxyoctanoylcarnitine (1) to octanoylcarnitine (c8),3-hydroxyoctanoylcarnitine (1),Blood | Urine,octanoylcarnitine (c8),Blood | Feces | Placenta | Urine
